Make,count
8,1
0THER,1
1,1
15-Oct,1
11,1
1HR P,2
2HR P,13
3-6 N,5
3-6:3,3
311 C,1
3HR P,4
3PM-6,1
4-5:3,1
4-6 N,22
4-6PM,5
4-7PM,1
4HYUN,2
4PM-6,2
4TH W,1
10-Jul,3
7-9 N,13
7-9:3,2
730-1,3
730A-,1
7:30,3
7:30A,1
17-Aug,1
A2,1
ABART,18
ABF-T,1
ABFTR,1
AC,3
ACU,26
ACUR,6867
ACUR,10476
ADJ C,1
ALFA,9
ALTIM,2
AMGN,1
ARAMA,1
ASTO,2
AU,1
AU,1
AUDI,23
AUDI,4941
AUROR,1
AUTC,3
AV,1
BARB,1
BENTL,7
BENTL,15
MERC,1
BIKE,3
BLOCK,27
BLUE,18
BMW,11587
BMW,3
BMW,1
BOAT,1
BOMBA,1
BRAM,1
BRI M,1
BRMR,1
BUICK,6
BUICK,2957
BUICK,3710
BUICK,2
C/S 1,2
C/S 4,1
C/S 8,1
C/S 9,2
CADIL,3
CADIL,2263
CADIL,3095
CADIL,2
CAMR,1
CANA,3
CAR,2
CAR M,1
CARMA,1
CARR,1
CARRY,4
CENTR,1
CHALK,2
CHAMP,1
CHE,81
CHEVR,21705
CHEVR,27745
CHEVR,1
CHEVR,2
CHLK,1
CHRY,15
CHRY,6211
CHRY,6704
CIM,2
COACH,1
COMMV,22
COMPL,4
CONT,1
COOPE,5
CURRA,1
DAEWO,13
DATSU,2
DEALE,5
DETAC,129
DETAT,2
DETCH,2
DISP,80
DISPL,1
DIXIE,1
DMW,1
DODGE,40
DODGE,9011
DODGE,12260
DOUBL,16
DRIVE,1
DUCA,3
DUCAT,7
DURA,1
EAGL,1
EAGLE,10
EAS,1
EAST,1
ECONO,1
EES05,1
ELAN,1
ENTEG,1
ENVO,1
EQUUS,1
ESMC,1
EXCEE,2
EXP 4,1
EXP E,1
EXPIR,20
FAIT,2
FEDE,2
FEDEX,66
FERR,1
FERRA,7
FEX,1
FIA,1
FIAT,634
FJR,1
FLAT,2
FLEET,4
FLIN,1
FOLD,1
FON,1
FONTA,1
FORD,111
FORD,56786
FORES,1
FRE,1
FREI,10
FREIG,724
FRGHT,1
FRHT,55
FRIDA,1
FRIE,1
FRIEG,1
FRIGH,1
FRL,1
FRUE,1
FRUEH,1
G D,1
GENES,17
GEO,71
GMC,6891
GMC,1
GMC,1
GOSH,1
GRAY,1
GREAT,3
GRIEC,1
GRUMM,1
GTD,1
HARL,7
HARLE,35
HAULM,2
HD,26
HEAD-,1
HEI,1
HEIL,2
HEN,1
HONDA,1
HINO,65
HONDA,1
HONDA,170
HONDA,27368
HONDA,43049
HUMME,2
HUMME,115
HUMME,154
HYUND,1
HYUND,8
HYUND,67
HYUND,11746
HYUND,1
HYUND,16299
HYUND,1
IC,8
IC CO,2
ICBU,3
IEUZ,1
IMPER,1
INFIN,1
INFIN,20
INFIN,3244
INFIN,4443
INT,3
INTA,1
INTE,8
INTER,373
INTL,58
ISU,87
ISUZ,57
ISUZU,394
JAGUA,7
JAGUA,341
JAGUA,595
JAGUA,10
JEEP,1
JEEP,51
JEEP,16973
JEEP,1
JEEP,3
JOHN,1
K T M,1
KARI,1
KAUFM,2
KAWA,2
KAWAS,18
KAWK,9
KENW,1
KENWO,34
KIA,9909
KIA M,19
KIA.,1
KORD,1
KURBM,1
KW,18
KYMCA,1
KYMCO,2
L R,2
LAN,1
LANCE,2
LAND,788
LANDR,5
LANR,4
LARK,1
LARV,1
LEONA,5
LESS,1
LEXUS,49
LEXUS,4570
LEXUS,1152
LEXUS,7483
LEXUS,1
LIN,7
LINC,1692
LINCO,2348
LINK,1
LND,7
LNDR,395
LOKI,1
LONE,1
LORI,2
LOTUS,1
LR,1
M B,23
MAC,1
MACK,42
MAIL,3
MAJE,1
MAS,1
MASE,17
MASER,51
MAZDA,22
MAZDA,1
MAZDA,3558
MAZDA,7995
MAZDA,1
MERC,13
MERC,3
MERC,1
MC,1
MCI,3
MCIN,1
MCT,1
ME,1
MERC,1
MEHAR,1
MERC,3
MERC,1542
MERC,7276
MERC,2284
MERC,4590
MG,3
MGS,1
MINC,1
MINC,1
MINC,282
MINC,1380
MITSU,16
MITSU,1528
MITSU,2398
MNNI,196
MOBIL,1
MON 1,2
MON 7,1
MONDA,1
MOTO,1
MOTOR,4
MUSTA,1
N,1
NATIO,1
NEFL,18
NEON,1
NEW F,1
NEWF,43
NEWHA,1
NFLY,17
NISSA,3
NISSA,102
NISSA,1
NISSA,22014
NISSA,27991
NO EZ,50
NO PA,71
NO PE,2
NO PK,8
NO PR,1
NO S,1
NO ST,69
NOT,1
NOT A,1
NWFL,11
OBSTR,5
OLD,2
OLDS,322
OLDSM,713
OTH,18
OTHER,9
OTHR,8
PACE,1
PARK,44
PARKE,6
PASS,15
PB,1
PENSK,1
PETE,10
PETER,84
PICK,2
PIER,1
PLYM,61
PLYMO,146
POLAR,3
PONTI,1
PONTI,1220
PONTI,2235
POR,3
PORS,185
PORSC,352
PORSH,3
POSTE,5
PREO,1
PREVO,3
PST B,1
PST N,1
PTBR,1
PTRB,14
RAM,846
RAMB,1
RAMS,1
RANG,43
RANGE,435
RANGR,1
REITN,1
RESER,9
RIVER,1
ROLLS,1
RORO,1
ROV,81
ROVER,3
RR,1
RYDER,1
